x,y,intensity,ultra,lidar
16,128,7,92,966
16,128,8,92,969
16,132,4,92,969
16,132,7,92,969
16,132,5,92,969
16,132,8,92,972
16,132,5,92,972
16,136,4,93,970
16,136,6,92,970
16,136,5,92,973
16,136,7,93,973
16,136,5,92,970
16,140,5,92,970
16,140,6,93,973
16,140,5,92,973
16,140,5,92,971
16,140,4,92,971
16,144,7,93,967
16,144,4,93,967
16,144,5,93,972
16,144,6,93,972
16,144,3,93,972
16,148,6,93,972
16,148,3,93,972
16,148,5,93,972
16,148,5,93,965
16,148,2,93,965
16,152,6,92,968
16,152,4,93,968
16,152,4,92,968
16,152,4,92,968
16,152,2,92,971
16,156,5,92,971
16,156,6,92,969
16,156,4,92,969
16,156,5,92,970
16,156,5,92,970
16,160,5,92,974
16,160,3,94,974
16,160,6,92,972
16,160,4,92,972
16,160,5,92,965
20,160,6,92,965
20,160,3,92,971
20,160,5,92,971
20,160,4,92,969
20,160,4,92,969
20,156,5,92,972
20,156,4,94,972
20,156,3,92,966
20,156,5,92,966
20,156,5,92,969
20,152,6,92,969
20,152,6,92,968
20,152,4,92,968
20,152,5,92,970
20,152,4,92,970
20,148,4,92,972
20,148,5,93,972
20,148,5,92,972
20,148,4,92,972
20,148,5,92,972
20,144,4,92,972
20,144,5,92,970
20,144,5,92,970
20,144,6,92,969
20,144,7,92,969
20,140,4,92,969
20,140,6,93,969
20,140,5,92,966
20,140,6,92,966
20,140,5,92,967
20,136,5,92,967
20,136,5,92,969
20,136,5,92,969
20,136,4,92,972
20,136,5,92,972
20,132,5,92,968
20,132,5,92,968
20,132,7,92,970
20,132,6,92,970
20,132,6,92,970
20,128,5,92,970
20,128,5,92,968
20,128,6,92,968
20,128,9,92,968
20,128,6,92,968
20,124,8,92,969
20,124,7,92,969
20,124,5,92,969
20,124,6,92,967
20,124,6,92,967
20,120,5,20,971
20,120,8,20,971
20,120,5,20,966
20,120,7,20,966
20,120,7,20,970
20,116,7,20,970
20,116,7,20,965
20,116,7,20,965
20,116,9,20,963
20,116,7,20,963
20,112,7,32,963
20,112,9,765,963
20,112,5,32,959
20,112,11,32,959
20,112,5,32,959
20,108,8,20,959
20,108,9,20,943
20,108,6,20,943
20,108,8,20,942
20,108,8,20,942
20,104,7,20,942
20,104,6,765,942
20,104,9,20,922
20,104,9,20,922
20,104,8,20,923
20,100,9,20,923
20,100,10,20,884
20,100,10,20,884
20,100,9,20,883
20,100,9,20,883
20,96,9,20,886
20,96,12,765,886
20,96,8,20,829
20,96,8,20,829
20,96,11,20,832
20,92,10,20,832
20,92,10,20,739
20,92,8,20,739
20,92,9,20,749
20,92,10,20,749
20,88,10,20,751
20,88,10,765,751
20,88,11,20,630
20,88,11,20,630
20,88,9,20,631
20,84,9,20,631
20,84,10,20,518
20,84,10,20,518
20,84,9,20,524
20,84,10,20,524
20,80,10,20,528
20,80,11,765,528
20,80,12,20,433
20,80,13,20,433
20,80,11,20,434
20,76,13,20,434
20,76,10,20,376
20,76,11,20,376
20,76,11,20,373
20,76,11,20,373
20,72,9,20,374
20,72,9,765,374
20,72,12,20,332
20,72,10,20,332
20,72,12,20,338
20,68,11,20,338
20,68,9,20,310
20,68,9,20,310
20,68,9,20,310
20,68,10,20,310
20,64,11,20,308
20,64,14,765,308
20,64,12,20,292
20,64,11,20,292
20,64,11,20,290
20,60,10,20,290
20,60,12,20,282
20,60,12,20,282
20,60,11,20,281
20,60,11,20,281
20,56,11,20,284
20,56,13,765,284
20,56,10,20,271
20,56,9,20,271
20,56,13,20,269
20,52,13,20,269
20,52,11,20,268
20,52,10,20,268
20,52,11,20,267
20,52,9,20,267
20,48,10,20,267
20,48,13,765,267
20,48,11,20,263
20,48,12,20,263
20,48,12,20,263
20,44,12,24,263
